system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2138097302,https://doi.org/10.1007/s12265-008-9068-3,Building a Program in Translational Genomics,Springer,2008,article,Journal of Cardiovascular Translational Research,Jennifer L. Hall,Minneapolis Heart Institute Foundation,11,1.0,0.0,0.13233817,CRISPR and Genetic Engineering,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3143561573,https://doi.org/10.1038/s41436-021-01140-x,Ensuring best practice in genomics education and evaluation: reporting item standards for education and its evaluation in genomics (RISE2 Genomics),Elsevier,2021,article,Genetics in Medicine,Amy Nisselle; Monika Janinski; Melissa Martyn; Belinda McClaren; Nadia Kaunein; Jane Maguire; Erin Rooney Riggs; Kristine Barlow‐Stewart; Andrea Belcher; John Bernat; Stephanie Best; Michelle Bishop; June Carroll; Martina C. Cornel; Vajira H. W. Dissanayake; Agnes E. Dodds; Kate Dunlop; Gunjan Garg; Russell Gear; Debra Graves; Ken Knight; Bruce R. Korf; Dhavendra Kumar; Mercy Laurino; Alan Ma; Andrew J. Mallett; Maria McCarthy; Alison McEwen; Nicola Mulder; Chirag Patel; Catherine Quinlan; Kate Reed; Ingrid Sinnerbrink; Anne Slavotinek; Vijayaprakash Suppiah; Bronwyn Terrill; Edward S. Tobias; Emma Tonkin; Steve Trumble; Tina‐Marié Wessels; Sylvia A. Metcalfe; Helen Jordan; Clara Gaff,"Murdoch Children's Research Institute; University of Melbourne; Melbourne Genomics Health Alliance; University of Technology Sydney; Autism & Developmental Medicine Institute; University of Sydney; University of Queensland; University of Iowa; Macquarie University; Health Education England; Genomics (United Kingdom); University of Toronto; Vrije Universiteit Amsterdam; University of Colombo; New South Wales Department of Health; Sydney Children's Hospitals Network; Royal College of Pathologists of Australasia; University of Alabama at Birmingham; Queen Mary University of London; William Harvey Research Institute; University of the Philippines Manila; Royal Children's Hospital; University of Cape Town; Queensland Health; Jackson Laboratory; University of California, San Francisco; University of South Australia; UNSW Sydney; St Vincent's Clinic; Garvan Institute of Medical Research; University of Glasgow; University of South Wales",43,50.0,5.4576,0.96426195,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,AU; US; GB; CA; NL; LK; PH; ZA,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3025995270,null/unknown,Practical Applications of Structural Genomics Technologies for Mutagen Research,University of North Texas,2010,article,University of North Texas Digital Library (University of North Texas),Adam Zemła; Brent W. Segelke,Lawrence Livermore National Laboratory; Lawrence Livermore National Security,0,0.0,0.0,0.32990829,RNA and protein synthesis mechanisms,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,repository,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1969044272,https://doi.org/10.1038/449627a,The personal side of genomics,Nature,2007,article,Nature,Nathan Blow,The Nature Conservancy,6,35.0,3.7958,0.94022328,Genomics and Chromatin Dynamics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2788212548,https://doi.org/10.1534/genetics.118.300690,The Evolution of Science in a Latin-American Country: Genetics and Genomics in Brazil,Oxford University Press,2018,article,Genetics,Francisco M. Salzano,Universidade Federal do Rio Grande do Sul,51,9.0,0.9199,0.76937983,Biotechnology and Related Fields,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,True,bronze,journal,False,English,BR,True
Web of Science,Genomics,2026-04-29,Semantic Scholar,null/unknown,null/unknown,"Genomics, Evolution and Evolution of Genomics",null/unknown,2009,null/unknown,null/unknown,N. Kyrpides,null/unknown,0,0.0,null/unknown,null/unknown,Biology,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1629984745,https://doi.org/10.1126/science.1057264,Toward Behavioral Genomics,American Association for the Advancement of Science,2001,article,Science,Peter McGuffin; Brien P. Riley; Robert Plomin,King's College London; Psychiatry Research Trust,10,204.0,12.1418,0.99127228,Genetic Associations and Epidemiology,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2010433905,https://doi.org/10.1007/s11192-009-0404-4,Everything about genes: Some results on the dynamics of genomics research,Springer,2008,article,Scientometrics,Robert R. Braam,Rathenau Instituut,8,10.0,0.4128,0.62928774,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,NL,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2071047821,https://doi.org/10.1186/1471-2164-11-27,Genomics Portals: integrative web-platform for mining genomics data,BioMed Central,2010,article,BMC Genomics,Kaustubh Shinde; Mukta Phatak; Johannes Freudenberg; Jing Chen; Qian Li; Joshi K Vineet; Zhen Hu; Krishnendu Ghosh; Jarek Meller; Mario Medvedovic,University of Cincinnati Medical Center,49,15.0,1.3609,0.79742222,Gene expression and cancer classification,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1934063907,https://doi.org/10.1111/j.1469-8137.2005.01334.x,A pioneer perspective on adaptation,Wiley,2005,article,New Phytologist,Stephen DiFazio,Oak Ridge National Laboratory,31,8.0,2.4954,0.85677406,Bioenergy crop production and management,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4400696114,https://doi.org/10.3389/fgene.2024.1419302,Assessing genomics confidence and learning needs in Australian nurses and midwives: an educational program evaluation,Frontiers Media,2024,article,Frontiers in Genetics,Kimberly Alexander; Melanie Rolfe; Michael T. Gabbett,Queensland University of Technology,31,4.0,2.0363,0.87506408,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,AU,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2099543256,https://doi.org/10.1186/s12920-015-0124-y,Preparing the next generation of genomicists: a laboratory-style course in medical genomics,BioMed Central,2015,article,BMC Medical Genomics,Michael D. Linderman; Ali Bashir; George A. Díaz; Andrew Kasarskis; Saskia C. Sanderson; Randi E. Zinberg; Milind Mahajan; Hardik Shah; Sabrina A. Suckiel; Micol Zweig; Eric E. Schadt,Icahn School of Medicine at Mount Sinai,20,17.0,1.9581,0.86215442,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3173424294,https://doi.org/10.7899/jce-20-17,Making a case for genomics in chiropractic education,null/unknown,2021,article,Journal of Chiropractic Education,Kara D. Burnham; Leslie A.K. Takaki,University of Western States,18,4.0,0.3463,0.6640899,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,diamond,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2962100561,https://doi.org/10.1111/inr.12537,"Genomics education in nursing in Hong Kong, Taiwan and Mainland China",Wiley,2019,article,International Nursing Review,Sek Ying Chair; Mary Miu Yee Waye; Kathleen Calzone; Carmen W.H. Chan,Chinese University of Hong Kong; ID Genomics (United States); National Institutes of Health; National Cancer Institute; Center for Cancer Research; Department of Health and Human Services,22,33.0,3.0583,0.91530768,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,HK; US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3100167958,https://doi.org/10.1139/gen-2020-0096,User-centric genomics infrastructure: trends and technologies,NRC Research Press,2020,review,Genome,Ritesh Krishna; Vadim Elisseev,Daresbury Laboratory,37,2.0,0.0834,0.46049283,Gene expression and cancer classification,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,hybrid,journal,False,English,GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2061358411,https://doi.org/10.2217/pme.10.74,The ‘Persons‘ and ‘Genomics‘ of Personal Genomics,Future Medicine,2010,article,Personalized Medicine,Jenny Reardon,"University of California, Santa Cruz",15,31.0,1.296,0.81908824,"Race, Genetics, and Society",Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2140814848,https://doi.org/10.1093/beheco/aru172,"Behavioral ecology and genomics: new directions, or just a more detailed map?",Oxford University Press,2014,article,Behavioral Ecology,Marlene Zuk; Susan L. Balenger,University of Minnesota,38,37.0,8.8785,0.97236204,Plant and animal studies,"Ecology, Evolution, Behavior and Systematics",Agricultural and Biological Sciences,Life Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1509789978,https://doi.org/10.1126/science.290.5499.2077,Plant Biology in 2010,American Association for the Advancement of Science,2000,article,Science,Chris Somerville; Jeff Dangl,Carnegie Institution for Science,9,117.0,4.5411,0.95242232,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2149441684,https://doi.org/10.1158/2159-8290.cd-12-0095,The cBio Cancer Genomics Portal: An Open Platform for Exploring Multidimensional Cancer Genomics Data,American Association for Cancer Research,2012,article,Cancer Discovery,Ethan Cerami; Jianjiong Gao; Uğur Doğrusöz; Benjamin Groß; S. Onur Sumer; Bülent Arman Aksoy; Anders J. Skanderup; Caitlin J. Byrne; Michael Heuer; Erik Larsson; Yevgeniy Antipin; Boris Reva; Arthur P. Goldberg; Chris Sander; Nikolaus Schultz,Memorial Sloan Kettering Cancer Center; Bilkent University,17,18220.0,124.7841,0.99983279,Cancer Genomics and Diagnostics,Cancer Research,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,green,journal,False,English,US; TR,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2070272747,https://doi.org/10.1002/em.20302,U.S. environmental protection agency's activities to prepare for regulatory and risk assessment applications of genomics information,Wiley,2007,article,Environmental and Molecular Mutagenesis,William H. Benson; Kathryn Gallagher; J. Thomas McClintock,Environmental Protection Agency,1,8.0,0.7853,0.70487426,Molecular Biology Techniques and Applications,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4405659879,https://doi.org/10.1002/hast.4924,Expanding the Agenda for a More Just Genomics,Wiley,2024,article,The Hastings Center Report,Deanne Dunbar Dolan; Danielle Pacia; Josephine Johnston; Sandra Soo‐Jin Lee; Mildred K. Cho,null/unknown,93,1.0,0.5108,0.73785467,Ethics in Clinical Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,True,bronze,journal,False,English,null/unknown,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W3003809261,https://doi.org/10.2215/cjn.08570719,Introduction to Genomics of Kidney Disease,Lippincott Williams & Wilkins,2020,article,Clinical Journal of the American Society of Nephrology,Matthew G. Sampson; Caroline S. Fox,"Boston Children's Hospital; Harvard University; Merck & Co., Inc., Rahway, NJ, USA (United States)",0,2.0,0.2413,0.53372187,Biomedical Ethics and Regulation,Physiology,Medicine,Health Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4391228825,https://doi.org/10.1111/nph.19553,"Tracking signatures of selection in natural populations of ectomycorrhizal fungi - progress, challenges, and prospects",Wiley,2024,article,New Phytologist,Benjamin Dauphin; Martina Peter,"Swiss Federal Institute for Forest, Snow and Landscape Research",35,3.0,1.7138,0.84924642,Mycorrhizal Fungi and Plant Interactions,Plant Science,Agricultural and Biological Sciences,Life Sciences,True,bronze,journal,False,English,CH,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4402254602,https://doi.org/10.3928/01484834-20240523-01,Inclusion of Genetics and Genomics in Baccalaureate Nursing Programs in the United States,Slack Incorporated (United States),2024,article,Journal of Nursing Education,Isabelle Joffe; Paulina Karagianes; Francis Slezinger; Milly Tenenbaum; Ani Jacob; Lawrence Hobbie,Adelphi University,41,4.0,2.0594,0.88999642,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2142035527,https://doi.org/10.1147/sj.461.0057,The seventh layer of the clinical-genomics information infrastructure,Institute of Electrical and Electronics Engineers,2007,article,IBM Systems Journal,Amnon Shabo; Dolev Dotan,University of Haifa; IBM Research - Haifa,16,13.0,1.178,0.7766327,Biomedical Text Mining and Ontologies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,IL,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W7119739534,https://doi.org/10.1016/j.anzjph.2025.100310,A qualitative study of genomics in cancer control for Aboriginal and Torres Strait Islander Australians,Elsevier,2026,article,Australian and New Zealand Journal of Public Health,Justine R Clark; Jacinta Elston; Kelly Trudgen; Lucy Coulter; Carolyn Der Vartanian; Ashleigh R. Sharman; Claire Howlett; Vivienne Milch; Dorothy Keefe; Alex Brown,University of South Australia; Cancer Australia; Flinders University; The University of Notre Dame Australia; Centre for Cancer Biology; Australian National University,16,0.0,0.0,0.05621388,"Race, Genetics, and Society",Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,AU,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4392717821,https://doi.org/10.1093/tbm/ibae008,Establishing an infrastructure to optimize the integration of genomics into research: Results from a precision health needs assessment,Oxford University Press,2024,article,Translational Behavioral Medicine,Caitlin G. Allen; Gwendolyn S. Bouchie; Daniel P. Judge; Emma Coen; Sarah English; Samantha Norman; Katie Kirchoff; Paula S. Ramos; Julie Hirschhorn; Leslie Lenert; Lori McMahon,Medical University of South Carolina,14,1.0,0.5109,0.6924602,"Nutrition, Genetics, and Disease",Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,green,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1981682182,https://doi.org/10.1038/nrg2283,Genomics on the fly,Nature,2007,review,Nature Reviews Genetics,Chris Gunter,The Nature Conservancy,10,1.0,0.0,0.10026082,Insect behavior and control techniques,Insect Science,Agricultural and Biological Sciences,Life Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2341894945,https://doi.org/10.1111/eve.12578,Genomics in equine veterinary medicine,Wiley,2016,article,Equine Veterinary Education,Emma Adam,University of Kentucky,47,1.0,0.2869,0.71473606,Animal Genetics and Reproduction,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2315343852,https://doi.org/10.1107/s0108767308099613,Focused structural genomics,Wiley,2008,article,Acta Crystallographica Section A Foundations of Crystallography,A. Joachimiak,Argonne National Laboratory,0,0.0,0.0,0.18500919,Crystallization and Solubility Studies,Materials Chemistry,Materials Science,Physical Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4206423235,https://doi.org/10.1111/bioe.12995,Towards equitable genomics governance in Africa: Guiding principles from theories of global health governance and the African moral theory of Ubuntu,Wiley,2022,article,Bioethics,Nchangwi Syntia Munung; Jantina de Vries; Bridget Pratt,University of Cape Town; The University of Melbourne; Melbourne Health,42,12.0,1.9952,0.85110058,Ethics in Clinical Research,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,True,green,journal,False,English,ZA; AU,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W43667468,https://doi.org/10.1038/nrg1096,Phage genomics comes of age,Nature,2003,review,Nature Reviews Genetics,Victoria Kitchener,null/unknown,1,2.0,0.0,0.0,Bacteriophages and microbial interactions,Ecology,Environmental Science,Physical Sciences,False,closed,journal,False,English,null/unknown,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4362472570,https://doi.org/10.3390/ijms24076539,Comparative Genomics and Functional Genomics Analysis in Plants,Multidisciplinary Digital Publishing Institute,2023,other,International Journal of Molecular Sciences,Jiacheng Wang; Yaojia Chen; Quan Zou,University of Electronic Science and Technology of China; Quzhou University,22,3.0,0.9158,0.78903254,Genetic Mapping and Diversity in Plants and Animals,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,gold,journal,False,English,CN,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2767588222,https://doi.org/10.1016/j.jtho.2017.09.200,MS 02.01 Lung Cancer Genomics,Elsevier,2017,article,Journal of Thoracic Oncology,Ramaswamy Govindan,Washington University in St. Louis,0,0.0,0.0,0.19455834,Lung Cancer Research Studies,Oncology,Medicine,Health Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2136116466,https://doi.org/10.1111/j.1469-8137.2004.01179.x,Poplar genomics comes of age,Wiley,2004,article,New Phytologist,Steven H. Strauss; Francis Martin,Oregon State University,46,31.0,7.9682,0.97750219,Bioenergy crop production and management,Agronomy and Crop Science,Agricultural and Biological Sciences,Life Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1990504941,https://doi.org/10.1107/s0108767300022352,Roundtable on Structural Genomics,Wiley,2000,article,Acta Crystallographica Section A Foundations of Crystallography,Guy Dodson; Udo Heinemann,University of York; Max Delbrück Center,0,0.0,0.0,0.06640433,"Genetics, Bioinformatics, and Biomedical Research",Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,False,English,GB; DE,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2017648972,https://doi.org/10.1016/s0764-4469(01)01402-0,"Génomique 2000, aspects culturels",null/unknown,2001,article,Comptes Rendus de l Académie des Sciences - Series III - Sciences de la Vie,Patrick Triadou,Hôpital Necker-Enfants Malades,0,0.0,0.0,0.20644522,Philosophy and History of Science,History and Philosophy of Science,Arts and Humanities,Social Sciences,False,closed,journal,False,French,FR,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2171689933,https://doi.org/10.1186/gb-2009-10-1-202,"Integrating sequence, evolution and functional genomics in regulatory genomics",Springer,2009,review,Genome Biology,Martin Vingron; Alvis Brāzma; Richard Coulson; Jacques van Helden; Thomas Manke; Kimmo Palin; Olivier Sand; Esko Ukkonen,Max Planck Institute for Molecular Genetics; Wellcome Sanger Institute; European Bioinformatics Institute; Wellcome Trust; Université Libre de Bruxelles; Helsinki Institute for Information Technology; University of Helsinki,109,26.0,2.4265,0.89155243,Genomics and Chromatin Dynamics,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,False,English,DE; GB; BE; FI,False
Web of Science,Genomics,2026-04-29,Semantic Scholar,null/unknown,null/unknown,"Aspects of Comparative Genomics in the Gilthead Sea Bream , Sparus auratus",null/unknown,2006,null/unknown,null/unknown,A. Shirak; E. Seroussi; Noam Zilberman; G. Hulata; M. Ron; A. Cnaani; T. Kocher,null/unknown,12,0.0,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown,True,open,null/unknown,null/unknown,null/unknown,null/unknown,null/unknown
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4213276642,https://doi.org/10.1111/inr.12751,Nursing engagement in genetics and genomics: A developing country's perspective,Wiley,2022,review,International Nursing Review,Peter James B. Abad; Aster Lynn D. Sur,University of the Philippines Manila,19,12.0,2.0504,0.86983217,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,PH,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1503186154,https://doi.org/10.1126/science.281.5379.925,Genomics and the World's Economy,American Association for the Advancement of Science,1998,article,Science,Juan Enriquez,Harvard University,11,130.0,4.2852,0.94574308,Transgenic Plants and Applications,Biotechnology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2784013887,https://doi.org/10.1038/nrg2020,The dawn of Neanderthal genomics,Nature,2006,review,Nature Reviews Genetics,Magdalena Skipper,null/unknown,3,0.0,0.0,0.49541647,Pleistocene-Era Hominins and Archaeology,Anthropology,Social Sciences,Social Sciences,True,bronze,journal,False,English,null/unknown,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2052771958,https://doi.org/10.1016/j.tibtech.2005.01.002,Regulating genomics in the 21st century: from logos to pathos?,Elsevier,2005,review,Trends in biotechnology,Herbert Gottweis,University of Vienna,20,23.0,0.415,0.7496026,Genetically Modified Organisms Research,Plant Science,Agricultural and Biological Sciences,Life Sciences,False,closed,journal,False,English,AT,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W1969680667,https://doi.org/10.1111/j.1462-5822.2005.00553.x,Functional genomics databases on the web,Wiley,2005,review,Cellular Microbiology,Christian J. Stoeckert,University of Pennsylvania,32,6.0,0.2461,0.52931538,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W4395959955,https://doi.org/10.1038/s41588-024-01711-z,Advancing genomics to improve health equity,Nature,2024,review,Nature Genetics,Ebony Madden; Lucia A. Hindorff; Vence L. Bonham; Tabia Henry Akintobi; Esteban G. Burchard; Kellan Baker; Rene L. Begay; John D. Carpten; Nancy J. Cox; Valentina Di Francesco; Denise A. Dillard; Faith E. Fletcher; Stephanie M. Fullerton; Nanibaa' A. Garrison; Catherine M. Hammack-Aviran; Vanessa Y. Hiratsuka; James E. K. Hildreth; Carol R. Horowitz; Chanita A. Hughes Halbert; Michael Inouye; Amber Jackson; Latrice Landry; Rick A. Kittles; Jeff Leek; Nita A. Limdi; Nicole C. Lockhart; Elizabeth Ofili; Eliseo J. Pérez‐Stable; Maya Sabatello; Loren Saulsberry; Lorjetta E. Schools; Jennifer L. Troyer; Benjamin S. Wilfond; Genevieve L. Wojcik; Judy H. Cho; Sandra Soo‐Jin Lee; Eric D. Green,"National Human Genome Research Institute; Office of the Director; Morehouse School of Medicine; University of California, San Francisco; Whitman-Walker Health; City of Hope; Native Health; University of Colorado Anschutz Medical Campus; Office of Diversity and Inclusion; Vanderbilt University; Baylor College of Medicine; University of Washington Medical Center; Washington State University; University of Washington; University of California, Los Angeles; UCLA Health; Precision Research (United States); Vanderbilt Health; Meharry Medical College; University of Alaska Anchorage; Icahn School of Medicine at Mount Sinai; University of Southern California; University of Cambridge; Cambridge University Health Partners; University of Pennsylvania; Fred Hutch Cancer Center; University of Alabama at Birmingham; National Institute on Minority Health and Health Disparities; Cal Humanities; Precision for Medicine (United States); Columbia University; Chicago Department of Public Health; University of Chicago; Johns Hopkins University",18,49.0,25.7544,0.99727669,BRCA gene mutations in cancer,Genetics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,green,journal,False,English,US; GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2130830717,https://doi.org/10.1186/s13059-014-0515-y,Empowering African genomics for infectious disease control,BioMed Central,2014,article,Genome biology,Onikepe Folarin; Anise N. Happi; Christian Happi,Redeemer's University; University of Ibadan,3,34.0,1.9778,0.86260935,Viral Infections and Outbreaks Research,Infectious Diseases,Medicine,Health Sciences,True,gold,journal,False,English,NG,True
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2023695628,https://doi.org/10.1038/nrg3518,Sprucing up forest tree genomics,Nature,2013,review,Nature Reviews Genetics,Magdalena Skipper,The Nature Conservancy,2,1.0,0.1462,0.5537123,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,False,English,US,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2157369456,https://doi.org/10.1093/cvr/cvn061,Genomics in cardiac metabolism,Oxford University Press,2008,review,Cardiovascular Research,Jane‐Lise Samuel; Marcus Schaub; Michael Zaugg; Mamas A. Mamas; Warwick B. Dunn; Bernard Swynghedauw,Hôpital Lariboisière; Inserm; Délégation Paris 7; Université Paris Cité; University of Zurich; University Hospital of Zurich; Manchester Royal Infirmary,77,27.0,1.5214,0.82277718,Mitochondrial Function and Pathology,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,False,closed,journal,False,English,FR; CH; GB,False
Web of Science,Genomics,2026-04-29,OpenAlex,https://openalex.org/W2047324589,https://doi.org/10.1038/sj.hdy.6800372,Comparative genomics: Comparative genomics coming of age,Springer,2003,article,Heredity,Rebecca F. Furlong; Ziheng Yang,University College London,4,1.0,0.0,0.090197,Genomics and Phylogenetic Studies,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,True,bronze,journal,False,English,GB,False
