system,query word,query datetime,dataset,openalex id,doi,title,publisher,year,type,publication venue,authors,institutions,reference,cited by,fwci,citation percentile (by year/subfield),primary topic,primary subfield,primary field,primary domain,is oa,open access status,source type,retracted,language,country,from global south
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4377293004,https://doi.org/10.3390/s23104946,C2RL: Convolutional-Contrastive Learning for Reinforcement Learning Based on Self-Pretraining for Strong Augmentation,Multidisciplinary Digital Publishing Institute,2023,article,Sensors,Sanghoon Park; Jihun Kim; Han‐You Jeong; Tae-Kyoung Kim; Jinwoo Yoo,Kookmin University; Pusan National University; Gachon University,23,5.0,0.8425,0.78008991,Domain Adaptation and Few-Shot Learning,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,journal,False,English,KR,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2012905391,https://doi.org/10.1109/iros.2005.1545146,Reinforcement learning of cooperative behaviors for multi-robot tracking of multiple moving targets,null/unknown,2005,article,null/unknown,Zheng Liu; Marcelo H. Ang; Winston K.G. Seah,"National University of Singapore; Institute for Infocomm Research; Agency for Science, Technology and Research",16,8.0,0.8775,0.79773859,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,SG,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1517085725,null/unknown,Complexity analysis of Quantum reinforcement learning,null/unknown,2010,article,Chinese Control Conference,Chunlin Chen; Daoyi Dong,Nanjing University; UNSW Sydney; Australian Defence Force Academy,12,0.0,0.0,0.10619469,Quantum Computing Algorithms and Architecture,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,CN; AU,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3043847312,https://doi.org/10.13031/trans.13633,Deep Reinforcement Learning-Based Irrigation Scheduling,American Society of Agricultural and Biological Engineers,2020,article,Transactions of the ASABE,Yanxiang Yang; Jiang Hu; Dana Porter; Thomas Marek; Kevin Heflin; Hongxin Kong,null/unknown,0,43.0,1.9954,0.85780153,Irrigation Practices and Water Management,Soil Science,Agricultural and Biological Sciences,Life Sciences,False,closed,journal,False,English,null/unknown,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2971163134,https://doi.org/10.1007/978-3-030-30241-2_5,Reinforcement Learning in Multi-agent Games: Open AI Gym Diplomacy Environment,Springer,2019,book chapter,Lecture Notes in Computer Science,Diogo Cruz; José Aleixo Cruz; Henrique Lopes Cardoso,Universidade do Porto,14,8.0,0.0,0.15976744,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,book series,False,English,PT,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3197409742,https://doi.org/10.1109/access.2021.3108623,On the Use of Deep Reinforcement Learning for Visual Tracking: A Survey,Institute of Electrical and Electronics Engineers,2021,article,IEEE Access,Giorgio Cruciata; Liliana Lo Presti; Marco La Cascia,University of Palermo,197,11.0,0.7759,0.73977605,Video Surveillance and Tracking Methods,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,True,gold,journal,False,English,IT,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4247008852,https://doi.org/10.1504/ijsnet.2017.087899,Energy-aware task scheduling by a true online reinforcement learning in wireless sensor networks,Inderscience Publishers,2017,article,International Journal of Sensor Networks,Muhidul Islam Khan; Kewen Xia; Ahmad Ali; Nelofar Aslam,Hebei University of Technology,0,11.0,0.8288,0.78694566,Energy Efficient Wireless Sensor Networks,Computer Networks and Communications,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1507591516,https://doi.org/10.1023/a:1008819414322,Reinforcement Learning in the Multi-Robot Domain,Springer,1997,article,Autonomous Robots,Maja J. Matarić,Brandeis University,35,409.0,29.0141,0.99682344,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2162802916,https://doi.org/10.1109/fuzzy.2011.6007708,Instruction knowledge acquisition for reinforcement learning scheme by PSO algorithm,null/unknown,2011,article,null/unknown,Toru Sawa; Toshihiko Watanabe,Osaka Electro-Communication University,44,0.0,0.0,0.14017928,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2543611337,https://doi.org/10.1109/wi-iat.2012.187,A Heuristic Reinforcement Learning Based on State Backtracking Method,null/unknown,2012,article,2012 IEEE/WIC/ACM International Conferences on Web Intelligence and Intelligent Agent Technology,Min Fang; Hao Li; Xiaosong Zhang,Xidian University; Research Institute of Highway; Xian Mechanical & Electric Institute (China),14,8.0,0.428,0.67991239,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4400995754,https://doi.org/10.1007/978-3-031-65633-0_9,Regular Reinforcement Learning,Springer,2024,book chapter,Lecture Notes in Computer Science,Taylor Dohmen; Mateo Perez; Fabio Somenzi; Ashutosh Trivedi,University of Colorado Boulder,47,2.0,1.498,0.82710728,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,hybrid,book series,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4308627571,https://doi.org/10.1145/3549037.3570194,Data quality issues in online reinforcement learning for self-adaptive systems (keynote),null/unknown,2022,article,null/unknown,Andreas Metzger,University of Duisburg-Essen,3,1.0,0.1326,0.53855052,Advanced Software Engineering Methodologies,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,DE,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2165180011,https://doi.org/10.1109/icmlc.2002.1176724,Robot path planning in complex environment based on delayed-optimization reinforcement learning,null/unknown,2003,article,null/unknown,Xiaodong Zhuang; Qingchun Meng; Bo Yin; Hanping Wang,Ocean University of China,12,1.0,0.0,0.16364996,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3216642293,https://doi.org/10.1007/s11768-021-00063-x,Quantum-enhanced reinforcement learning for control: a preliminary study,Springer,2021,article,Control Theory and Technology,Yazhou Hu; Fengzhen Tang; Jun Chen; Wenxue Wang,Northwest A&F University; Shenyang Institute of Automation; Chinese Academy of Sciences,50,5.0,0.4194,0.70598764,Quantum Computing Algorithms and Architecture,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3200610166,https://doi.org/10.1080/0952813x.2022.2153272,Reinforcement with iterative punishment,Taylor & Francis,2022,article,Journal of Experimental & Theoretical Artificial Intelligence,Jeffrey A. Barrett; Nathan Gabriel,"University of California, Irvine",17,20.0,32.737,0.99688848,Language and cultural evolution,Cultural Studies,Social Sciences,Social Sciences,True,green,journal,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2961374456,https://doi.org/10.1145/3319619.3326755,Generating interpretable reinforcement learning policies using genetic programming,null/unknown,2019,article,Proceedings of the Genetic and Evolutionary Computation Conference Companion,Daniel Hein; Steffen Udluft; Thomas A. Runkler,Siemens (Germany),5,8.0,0.1312,0.47180805,Evolutionary Algorithms and Applications,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,DE,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W195829297,null/unknown,Q-learning Approach in the Context of Virtual Learning Environment,null/unknown,2008,article,null/unknown,Liviu Ioniţă; Irina Tudor,Petroleum & Gas University of Ploieşti,3,0.0,0.0,0.01771602,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,RO,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2140956449,https://doi.org/10.1016/j.jmp.2009.11.002,Analyzing behavior implied by EWA learning: An emphasis on distinguishing reinforcement from belief learning,Elsevier,2009,article,Journal of Mathematical Psychology,W. van der Horst; Marcel A. L. M. van Assen; Chris Snijders,Tilburg University; Eindhoven University of Technology,29,6.0,0.5578,0.79993113,Experimental Behavioral Economics Studies,Safety Research,Social Sciences,Social Sciences,False,closed,journal,False,English,NL,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2806832624,https://doi.org/10.1109/jas.2018.7511144,Parallel reinforcement learning: a framework and case study,Institute of Electrical and Electronics Engineers,2018,article,IEEE/CAA Journal of Automatica Sinica,Teng Liu; Tian Bin; Yunfeng Ai; Li Li; Dongpu Cao; Fei‐Yue Wang,Chinese Academy of Sciences; Institute of Automation; Cloud Computing Center; University of Chinese Academy of Sciences; Tsinghua University; University of Waterloo,0,73.0,8.2771,0.98022378,Fault Detection and Control Systems,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,journal,False,English,CN; CA,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1515436326,https://doi.org/10.1007/978-3-540-72588-6_12,Multi-robot Cooperation Based on Hierarchical Reinforcement Learning,Springer,2007,book chapter,Lecture Notes in Computer Science,Xiaobei Cheng; Jing Shen; Haibo Liu; Guochang Gu,Harbin Engineering University,14,23.0,0.687,0.70142068,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,bronze,book series,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2085979294,https://doi.org/10.1109/smc.2014.6973941,Integration of evolutionary computing and reinforcement learning for robotic imitation learning,null/unknown,2014,article,null/unknown,Huan Tan; Kannan Balajee; DeRose Lynn,General Electric (United States); GE Global Research (United States),23,7.0,1.227,0.85020746,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4417233158,https://doi.org/10.1016/j.ifacol.2025.12.024,Applied Reinforcement Learning: An Implementation Roadmap,Elsevier,2025,article,IFAC-PapersOnLine,Catherine Laflamme; Zsolt János Viharos; Bence Pálvölgyi; Johanna Schaefer; Stefan Haeussler,null/unknown,19,0.0,0.0,0.20711624,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,diamond,journal,False,English,null/unknown,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4406208537,https://doi.org/10.1109/icarcv63323.2024.10821500,Data-Driven Optimal Control for Continuous- Time Linear Nonzero-Sum Games,null/unknown,2024,article,null/unknown,Hongyang Li; Qinglai Wei; Ruizhuo Song,Institute of Automation; Chinese Academy of Sciences; University of Science and Technology Beijing,11,0.0,0.0,0.31265554,Advanced Control Systems Optimization,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4410850764,https://doi.org/10.1016/j.engappai.2025.111124,CTPR: Contrastive transition predictive representation for reinforcement learning,Elsevier,2025,article,Engineering Applications of Artificial Intelligence,Hao Sun; Changpeng Wang,Chang'an University; Xi'an Jiaotong University,84,0.0,2.0776,0.05321565,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2944987817,https://doi.org/10.1007/s10489-019-01487-4,A new asynchronous reinforcement learning algorithm based on improved parallel PSO,Springer,2019,article,Applied Intelligence,Shifei Ding; Wei Du; Xingyu Zhao; Lijuan Wang; Weikuan Jia,China University of Mining and Technology; Xuzhou University of Technology; Shandong Normal University,21,45.0,3.6135,0.94381102,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3201859887,https://doi.org/10.1016/j.procs.2021.08.109,Utilising Assured Multi-Agent Reinforcement Learning within Safety-Critical Scenarios,Elsevier,2021,article,Procedia Computer Science,Joshua Riley; Radu Călinescu; Colin Paterson; Daniel Kudenko⋆; Alec Banks,University of York; L3S Research Center; Leibniz University Hannover; Defence Science and Technology Laboratory; Ministry of Defence,42,10.0,1.2068,0.82548622,Formal Methods in Verification,Computational Theory and Mathematics,Computer Science,Physical Sciences,True,diamond,journal,False,English,GB; DE,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4213126473,https://doi.org/10.1016/j.jobe.2022.104165,Applications of reinforcement learning for building energy efficiency control: A review,Elsevier,2022,review,Journal of Building Engineering,Qiming Fu; Zhicong Han; Jianping Chen; You Lu; Hongjie Wu; Yunzhe Wang,Suzhou University of Science and Technology,92,132.0,11.9155,0.99236058,Smart Grid Energy Management,Electrical and Electronic Engineering,Engineering,Physical Sciences,False,closed,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4402572157,https://doi.org/10.23919/ccc63176.2024.10662409,Reinforcement Learning Methods in Robotic Fish: Survey,null/unknown,2024,article,null/unknown,Penghang Shuai; Haipeng Li; Yongkang Luo; Liangwei Deng,Chinese Academy of Sciences; Shandong Institute of Automation; Institute of Automation,49,1.0,0.209,0.54070449,Water Quality Monitoring Technologies,Water Science and Technology,Environmental Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2184683021,null/unknown,Repetitive Tracking Control of Nonlinear Systems Using Reinforcement Fuzzy-Neural Adaptive Iterative Learning Controller,null/unknown,2012,article,null/unknown,Ying‐Chung Wang; Chiang‐Ju Chien,null/unknown,20,10.0,5.1138,0.95353893,Iterative Learning Control Systems,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,null/unknown,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2140556432,https://doi.org/10.1109/cec.2002.1004434,Evolutionary adaptive-critic methods for reinforcement learning,null/unknown,2003,article,null/unknown,Xin Xu; Hangen He; Dewen Hu,National University of Defense Technology,14,3.0,0.4569,0.75297224,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4376279527,https://doi.org/10.3389/ffutr.2023.1076439,Optimizing trajectories for highway driving with offline reinforcement learning,Frontiers Media,2023,article,Frontiers in Future Transportation,Branka Mirchevska; Moritz Werling; Joschka Boedecker,University of Freiburg; BMW Group (Germany),47,7.0,0.7523,0.70409924,Autonomous Vehicle Technology and Safety,Automotive Engineering,Engineering,Physical Sciences,True,gold,journal,False,English,DE,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2930863966,https://doi.org/10.1109/irc.2019.00120,Review of Deep Reinforcement Learning for Robot Manipulation,null/unknown,2019,article,2019 Third IEEE International Conference on Robotic Computing (IRC),Van‐Dinh Nguyen; Hung Manh La,"University of Nevada, Reno",97,250.0,11.7244,0.986507,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,conference,False,English,US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2775339982,https://doi.org/10.1109/iwcia.2017.8203579,Development of interactive multi-objective reinforcement learning considering preference structure of a decision maker,null/unknown,2017,article,null/unknown,Hiroyuki Yamamoto; Tomohiro Hayashida; Ichiro Nishizaki; Shinya Sekizaki,Hiroshima University,10,2.0,0.0,0.21982529,Advanced Multi-Objective Optimization Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4200402858,https://doi.org/10.1109/sbgames54170.2021.00020,Gym Hero: A Research Environment for Reinforcement Learning Agents in Rhythm Games,null/unknown,2021,article,null/unknown,Romulo F. Férrer Filho; Yuri Lenon Barbosa Nogueira; Creto Augusto Vidal; Joaquim Bento Cavalcante-Neto; Paulo Bruno S. Serafim,Universidade Federal do Ceará,23,0.0,0.0,0.19156838,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,BR,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W1550698229,https://doi.org/10.1007/978-1-4899-7687-1_100235,Kernel-Based Reinforcement Learning,null/unknown,2017,book chapter,Encyclopedia of Machine Learning and Data Mining,Claude Sammut; Geoffrey I. Webb,UNSW Sydney; Stanford University; Jackson Laboratory; Monash University,36,376.0,22.0322,0.99665444,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,AU; US,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2141659956,https://doi.org/10.1109/icarcv.2008.4795608,Reinforcement fuzzy-neural adaptive iterative learning control for nonlinear systems,null/unknown,2008,article,null/unknown,Ying‐Chung Wang; Chiang‐Ju Chien; Der-Tsai Lee,"National University of Tainan; Huafan University; Institute of Information Science, Academia Sinica; Institute of Statistical Science, Academia Sinica",33,0.0,0.0,0.10988898,Iterative Learning Control Systems,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,TW,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3127551068,https://doi.org/10.1109/tocs50858.2020.9339752,Robot path planning based on deep reinforcement learning,null/unknown,2020,article,null/unknown,Yinxin Long; Huajin He,Wuhan University of Technology,9,25.0,1.4655,0.84975129,Robotic Path Planning Algorithms,Computer Vision and Pattern Recognition,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2149645818,https://doi.org/10.1109/isda.2008.325,Effective Integration of Imitation Learning and Reinforcement Learning by Generating Internal Reward,null/unknown,2008,article,null/unknown,Keita Hamahata; Tadahiro Taniguchi; Kazutoshi Sakakibara; Ikuko Nishikawa; Kazuma Tabuchi; Tetsuo Sawaragi,Ritsumeikan University; Kyoto University,16,15.0,1.7635,0.88133494,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,JP,False
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2151908411,https://doi.org/10.1109/icmlc.2005.1526924,Reinforcement Learning Neural Network to the Problem of Autonomous Mobile Robot Obstacle Avoidance,null/unknown,2005,article,null/unknown,Bingqiang Huang; Cao Guang-yi; Min Guo,Shanghai Jiao Tong University,12,105.0,6.7057,0.9624347,Elevator Systems and Control,Control and Systems Engineering,Engineering,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2105250620,https://doi.org/10.1109/icmlc.2002.1167464,Multi-scale reinforcement learning with fuzzy state,null/unknown,2003,article,null/unknown,Xiaodong Zhuang; Qingchun Meng; Hanping Wang; Bo Yin,Ocean University of China,8,0.0,0.0,0.12945073,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W2887039782,https://doi.org/10.1007/s10489-018-1241-z,Asynchronous reinforcement learning algorithms for solving discrete space path planning problems,Springer,2018,article,Applied Intelligence,Xingyu Zhao; Shifei Ding; Yuexuan An; Weikuan Jia,China University of Mining and Technology; Shandong Normal University,40,39.0,1.8562,0.89116097,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,journal,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W3127157414,https://doi.org/10.1109/yac51587.2020.9337653,Review of reinforcement learning research,null/unknown,2020,article,null/unknown,Jingkai Jia; Wenlin Wang,Wuhan University of Technology,4,51.0,2.121,0.90041406,Artificial Intelligence in Games,Artificial Intelligence,Computer Science,Physical Sciences,False,closed,null/unknown,False,English,CN,True
Web of Science,Reinforcement Learning,2026-04-29,OpenAlex,https://openalex.org/W4413406546,https://doi.org/10.1016/j.icte.2025.07.010,Learning graph based individual intrinsic reward for multi-agent reinforcement learning,Elsevier,2025,article,ICT Express,Seokhun Ju; Seungyub Han; Taehyun Cho; Jungwoo Lee; Taeyoung Lee; Minkyoung Kim; Jinung An,Seoul National University; Hanwha Solutions (South Korea),17,0.0,0.0,0.10750224,Reinforcement Learning in Robotics,Artificial Intelligence,Computer Science,Physical Sciences,True,gold,journal,False,English,KR,False
